,ZipCode,Address,LandUse,OwnerType,LotArea,BldgArea,NumBldgs,UnitsRes,UnitsTotal,LotFront,BldgFront,AssessLand,AssessTot,YearBuilt,YearAlter,IfAlter,ResidFAR,CommFAR,FacilFAR,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_10,LandUse_11,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Population,PopDensity,MedIncome,AvgIncome,PerCapitaIncome,HighIncomeHouse,NumofHouses,NumofCondos,EduRate,UnemployedRate,MarriedRate,DivorcedRate,LandUseStr,Zone
115,10006,25 WEST STREET,7,C,67342,112000,1,1,1,389.14,116,10197000,13592700,1967,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Transp. & Utility,L Manhattan
118,10004,56 GREENWICH STREET,7,C,183456,193026,2,0,1,1020.32,249,33021900,43639650,1949,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Transp. & Utility,L Manhattan
124,10006,46 TRINITY PLACE,5,P,4100,20500,1,0,5,39.42,39,652500,1811250,1900,1988,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Cml. & Office,L Manhattan
127,10006,29 BROADWAY,5,P,14490,316150,1,0,43,72.08,70,3483000,19327950,1931,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Cml. & Office,L Manhattan
128,10006,39 BROADWAY,5,P,17440,447452,1,0,0,88.75,88.75,10350000,34937100,1928,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Cml. & Office,L Manhattan
129,10006,45 BROADWAY,5,P,15529,368315,1,0,36,80.25,80,11340000,33367050,1983,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Cml. & Office,L Manhattan
132,10006,55 BROADWAY,5,P,15722,309381,1,0,41,79,79,6165000,33721650,1983,0,0,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Cml. & Office,L Manhattan
133,10006,61 BROADWAY,5,P,22197,650740,1,0,99,105.08,105,15795000,57928950,1913,1986,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Cml. & Office,L Manhattan
134,10006,65 BROADWAY,5,P,16716,335184,1,0,16,79.75,80,7515000,27445050,1917,2007,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Cml. & Office,L Manhattan
135,10006,69 BROADWAY,3,P,13967,303086,1,237,245,78,78,5805000,32310900,1900,1997,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Multi Faml. w Elevator,L Manhattan
